"Hauptdiagnose","Estimate","Std. Error","df","t value","lower.tail.p","fdr","y.sig","y.no","Sig","N"
"AxSpA","-0.00744004612824014","0.00995126826953689","2928.27766737933","-0.747648031057089","0.227366259494112",0.268705579402133,57.5,51.62,"italic('0.27')",112
"CD","-0.0521881895620352","0.00749510754766907","4192.93835806944","-6.96296740642038","1.92541258870132e-12",2.50303636531171e-11,52.8,46,"***",445
"CTD","-0.0240689170775186","0.0189041771841419","2308.81707346011","-1.27320627833034","0.101536514815047",0.131997469259562,56.02,48.4,"italic('0.13')",22
"Control","1.72673906447484","0.00683609242456946","5280.71261682809","252.591532886361",NA,NA,58.2,52.05,NA,291
"GCA","-0.0333620769531203","0.0113429427805616","3016.52177411395","-2.94121883522968","0.00164705666791091",0.00305881952612025,53,46.6,"**",85
"PMR","-0.0448917047621612","0.0145577915546253","2991.43326128886","-3.08368921163034","0.00103158384225394",0.00223509832488355,53.22,46.27,"**",46
"PsA","-0.0047682058598413","0.00994999007514312","2772.03571099803","-0.479217147336975","0.315910978876548",0.342236893782927,58.2,51,"italic('0.34')",108
"Pso","0.0106487863741886","0.0096566224321892","3806.33119491563","1.10274440664596","0.864896053444228",0.864896053444228,60.1,52.55,"italic('0.86')",156
"RAneg","-0.0236546101466065","0.00899059927706404","3216.58032688097","-2.63103820086298","0.00427653321575629",0.00694936647560397,55.08,47.9,"**",168
"RApos","-0.0274268953431213","0.00782018577400341","3955.96633189429","-3.50719230153028","0.000228948301573225",0.000595265584090386,55,47.8,"***",351
"SLE","-0.046069423102189","0.00971723321316368","2893.07865562861","-4.74100210333328","1.11475410585877e-06",4.83060112538802e-06,52.6,45.6,"***",131
"SSc","-0.0595889914005973","0.0282169190455736","1771.19506195683","-2.11181778224455","0.0174208924146258",0.0251635112655706,49.88,42.545,"*",8
"SjS","-0.0784021110110615","0.0184865769856417","2154.17798328579","-4.24102910300568","1.15952667971111e-05",3.76846170906112e-05,50.88,45.075,"***",22
"UC","-0.0438906494020726","0.00801245671911605","3866.63782221557","-5.47780174554437","2.29031577687017e-08",1.48870525496561e-07,56.2,48.8,"***",295
